"account_id","district_id","frequency","date"
56,50,"POPLATEK MESICNE",940516
57,1,"POPLATEK MESICNE",950521
58,29,"POPLATEK MESICNE",960823
59,43,"POPLATEK MESICNE",940327
61,70,"POPLATEK MESICNE",931211
62,47,"POPLATEK MESICNE",930328
63,22,"POPLATEK MESICNE",961116
64,64,"POPLATEK MESICNE",970311
65,36,"POPLATEK MESICNE",961029
66,48,"POPLATEK PO OBRATU",931203
67,16,"POPLATEK MESICNE",941019
68,37,"POPLATEK PO OBRATU",941220
69,64,"POPLATEK MESICNE",960112
70,8,"POPLATEK MESICNE",950218
71,1,"POPLATEK MESICNE",940305
72,1,"POPLATEK TYDNE",960620
73,72,"POPLATEK MESICNE",931108
75,1,"POPLATEK MESICNE",950813
76,52,"POPLATEK MESICNE",960516
77,63,"POPLATEK MESICNE",961119
78,74,"POPLATEK MESICNE",930707
79,3,"POPLATEK MESICNE",961129
80,43,"POPLATEK MESICNE",950927
81,74,"POPLATEK MESICNE",960718
82,26,"POPLATEK MESICNE",940503
83,26,"POPLATEK MESICNE",930416
84,44,"POPLATEK PO OBRATU",951225
85,68,"POPLATEK MESICNE",970323
86,54,"POPLATEK MESICNE",930307
88,31,"POPLATEK MESICNE",960703
89,68,"POPLATEK MESICNE",970925
90,1,"POPLATEK MESICNE",940713
91,17,"POPLATEK MESICNE",961106
93,2,"POPLATEK MESICNE",960612
95,1,"POPLATEK MESICNE",950330
96,68,"POPLATEK MESICNE",930218
97,74,"POPLATEK MESICNE",960505
98,55,"POPLATEK MESICNE",970502
99,1,"POPLATEK MESICNE",950627
100,41,"POPLATEK MESICNE",931228
101,35,"POPLATEK MESICNE",960416
102,11,"POPLATEK MESICNE",931016
103,44,"POPLATEK MESICNE",960310
104,37,"POPLATEK MESICNE",930415
105,21,"POPLATEK MESICNE",970710
106,63,"POPLATEK MESICNE",941127
107,64,"POPLATEK MESICNE",931105
108,53,"POPLATEK MESICNE",950310
109,53,"POPLATEK MESICNE",970420
110,36,"POPLATEK MESICNE",960717
112,6,"POPLATEK MESICNE",930312
113,55,"POPLATEK MESICNE",960722
114,60,"POPLATEK MESICNE",970314
115,68,"POPLATEK MESICNE",930319
116,8,"POPLATEK MESICNE",960321
117,31,"POPLATEK MESICNE",930905
118,68,"POPLATEK MESICNE",970918
119,27,"POPLATEK MESICNE",930525
120,65,"POPLATEK TYDNE",950616
121,55,"POPLATEK MESICNE",971011
122,31,"POPLATEK MESICNE",961030
123,21,"POPLATEK MESICNE",930313
124,55,"POPLATEK MESICNE",971228
125,2,"POPLATEK PO OBRATU",960907
126,5,"POPLATEK MESICNE",931023
127,29,"POPLATEK MESICNE",940202
128,2,"POPLATEK MESICNE",930219
129,74,"POPLATEK MESICNE",971001
130,54,"POPLATEK MESICNE",970212
131,52,"POPLATEK MESICNE",950613
132,40,"POPLATEK PO OBRATU",960511
133,64,"POPLATEK TYDNE",971011
134,34,"POPLATEK MESICNE",971210
135,75,"POPLATEK MESICNE",930615
136,74,"POPLATEK MESICNE",960514
137,70,"POPLATEK MESICNE",960719
138,22,"POPLATEK MESICNE",950919
139,38,"POPLATEK TYDNE",970515
140,24,"POPLATEK MESICNE",960625
141,38,"POPLATEK MESICNE",960306
142,51,"POPLATEK MESICNE",930215
143,21,"POPLATEK MESICNE",961127
144,10,"POPLATEK TYDNE",970403
145,31,"POPLATEK MESICNE",960103
146,4,"POPLATEK MESICNE",930902
148,8,"POPLATEK MESICNE",930621
149,43,"POPLATEK MESICNE",971116
150,73,"POPLATEK MESICNE",950316
151,76,"POPLATEK MESICNE",930906
152,1,"POPLATEK MESICNE",960412
153,77,"POPLATEK MESICNE",930919
154,46,"POPLATEK MESICNE",940621
155,58,"POPLATEK MESICNE",951107
156,64,"POPLATEK MESICNE",971022
157,11,"POPLATEK MESICNE",970328
158,37,"POPLATEK MESICNE",950315
159,70,"POPLATEK MESICNE",970211
160,23,"POPLATEK MESICNE",930904
161,28,"POPLATEK MESICNE",940704
162,60,"POPLATEK MESICNE",930825
163,30,"POPLATEK MESICNE",930127
164,60,"POPLATEK MESICNE",960913
165,25,"POPLATEK MESICNE",930601
166,17,"POPLATEK MESICNE",960820
167,29,"POPLATEK TYDNE",960226
168,31,"POPLATEK MESICNE",930427
169,4,"POPLATEK MESICNE",950928
170,59,"POPLATEK MESICNE",960702
171,46,"POPLATEK MESICNE",960608
172,13,"POPLATEK MESICNE",930830
173,66,"POPLATEK MESICNE",931126
174,52,"POPLATEK MESICNE",960904
176,71,"POPLATEK TYDNE",960812
177,1,"POPLATEK MESICNE",970926
178,59,"POPLATEK MESICNE",970906
179,1,"POPLATEK TYDNE",970922
180,55,"POPLATEK TYDNE",931214
181,21,"POPLATEK MESICNE",960611
182,47,"POPLATEK MESICNE",960824
183,43,"POPLATEK MESICNE",931212
184,77,"POPLATEK MESICNE",960221
185,32,"POPLATEK MESICNE",970704
186,1,"POPLATEK TYDNE",930729
187,5,"POPLATEK MESICNE",930328
188,54,"POPLATEK MESICNE",930420
189,76,"POPLATEK MESICNE",970416
190,74,"POPLATEK MESICNE",950302
191,41,"POPLATEK MESICNE",970317
192,55,"POPLATEK MESICNE",930108
193,69,"POPLATEK MESICNE",961222
194,44,"POPLATEK MESICNE",960801
195,70,"POPLATEK MESICNE",970227
196,4,"POPLATEK MESICNE",931114
197,1,"POPLATEK MESICNE",930225
198,70,"POPLATEK MESICNE",931025
199,70,"POPLATEK MESICNE",961026
200,17,"POPLATEK MESICNE",940703
201,63,"POPLATEK MESICNE",941102
204,67,"POPLATEK MESICNE",960113
205,1,"POPLATEK MESICNE",971008
206,61,"POPLATEK MESICNE",950408
207,2,"POPLATEK MESICNE",930725
208,54,"POPLATEK MESICNE",960327
209,37,"POPLATEK MESICNE",961124
210,48,"POPLATEK MESICNE",960317
211,28,"POPLATEK MESICNE",970719
212,27,"POPLATEK TYDNE",930120
213,73,"POPLATEK MESICNE",950829
214,22,"POPLATEK MESICNE",970309
215,31,"POPLATEK MESICNE",971125
216,38,"POPLATEK MESICNE",940516
217,77,"POPLATEK MESICNE",950120
218,68,"POPLATEK MESICNE",960206
219,28,"POPLATEK MESICNE",950906
220,72,"POPLATEK MESICNE",930409
221,19,"POPLATEK MESICNE",961030
222,37,"POPLATEK MESICNE",930315
223,39,"POPLATEK MESICNE",950613
224,15,"POPLATEK MESICNE",961027
225,1,"POPLATEK MESICNE",930728
226,70,"POPLATEK MESICNE",970223
227,27,"POPLATEK MESICNE",950328
228,5,"POPLATEK MESICNE",930928
229,1,"POPLATEK MESICNE",970607
230,1,"POPLATEK MESICNE",960226
231,22,"POPLATEK MESICNE",950403
232,45,"POPLATEK MESICNE",971129
234,73,"POPLATEK MESICNE",930715
235,41,"POPLATEK MESICNE",931006
236,72,"POPLATEK MESICNE",960316
237,50,"POPLATEK MESICNE",940325
238,6,"POPLATEK MESICNE",930815
239,69,"POPLATEK TYDNE",930301
240,72,"POPLATEK MESICNE",970428
241,15,"POPLATEK MESICNE",960929
242,69,"POPLATEK MESICNE",960829
243,55,"POPLATEK TYDNE",931106
244,24,"POPLATEK MESICNE",930208
245,65,"POPLATEK MESICNE",931125
246,65,"POPLATEK MESICNE",971220
248,1,"POPLATEK MESICNE",950402
249,28,"POPLATEK MESICNE",961203
250,56,"POPLATEK MESICNE",970510
251,74,"POPLATEK MESICNE",960406
252,19,"POPLATEK MESICNE",961226
253,46,"POPLATEK MESICNE",951205
255,68,"POPLATEK MESICNE",961103
256,37,"POPLATEK MESICNE",950514
257,11,"POPLATEK MESICNE",951105
258,64,"POPLATEK MESICNE",970709
259,2,"POPLATEK MESICNE",931028
260,24,"POPLATEK MESICNE",951014
261,54,"POPLATEK MESICNE",961007
262,75,"POPLATEK MESICNE",960127
263,64,"POPLATEK TYDNE",970103
264,15,"POPLATEK MESICNE",960209
265,19,"POPLATEK MESICNE",960705
266,47,"POPLATEK MESICNE",940511
267,38,"POPLATEK MESICNE",950426
268,3,"POPLATEK MESICNE",960529
269,3,"POPLATEK MESICNE",960830
270,27,"POPLATEK MESICNE",950123
271,1,"POPLATEK MESICNE",960813
272,11,"POPLATEK MESICNE",961023
273,24,"POPLATEK PO OBRATU",930711
274,76,"POPLATEK MESICNE",930820
275,29,"POPLATEK MESICNE",960102
276,38,"POPLATEK MESICNE",971208
277,32,"POPLATEK PO OBRATU",940501
278,73,"POPLATEK MESICNE",960408
279,39,"POPLATEK MESICNE",930414
280,25,"POPLATEK MESICNE",930123
281,1,"POPLATEK MESICNE",961027
282,69,"POPLATEK MESICNE",970512
283,44,"POPLATEK MESICNE",960418
284,54,"POPLATEK MESICNE",970718
285,17,"POPLATEK MESICNE",950508
286,71,"POPLATEK MESICNE",960327
287,16,"POPLATEK MESICNE",931027
288,25,"POPLATEK MESICNE",950318
289,1,"POPLATEK MESICNE",940317
290,56,"POPLATEK MESICNE",931202
291,7,"POPLATEK MESICNE",970608
292,49,"POPLATEK MESICNE",970226
293,1,"POPLATEK MESICNE",970504
294,7,"POPLATEK MESICNE",970105
295,66,"POPLATEK MESICNE",971123
296,49,"POPLATEK MESICNE",960214
297,74,"POPLATEK MESICNE",960908
298,35,"POPLATEK MESICNE",971202
299,77,"POPLATEK MESICNE",930405
300,1,"POPLATEK MESICNE",930623
301,60,"POPLATEK MESICNE",950910
302,7,"POPLATEK MESICNE",960509
303,71,"POPLATEK MESICNE",960725
304,4,"POPLATEK MESICNE",970320
305,34,"POPLATEK MESICNE",961018
306,16,"POPLATEK MESICNE",930608
307,26,"POPLATEK MESICNE",970807
308,61,"POPLATEK MESICNE",951016
309,14,"POPLATEK MESICNE",970425
311,50,"POPLATEK MESICNE",970808
312,41,"POPLATEK MESICNE",960103
313,73,"POPLATEK MESICNE",960706
314,15,"POPLATEK PO OBRATU",960126
315,45,"POPLATEK MESICNE",971208
316,62,"POPLATEK MESICNE",970508
317,76,"POPLATEK MESICNE",930310
318,36,"POPLATEK MESICNE",940916
319,47,"POPLATEK TYDNE",951017
320,47,"POPLATEK MESICNE",970123
321,47,"POPLATEK MESICNE",931111
322,1,"POPLATEK MESICNE",930220
323,52,"POPLATEK MESICNE",970223
324,1,"POPLATEK MESICNE",960823
325,75,"POPLATEK MESICNE",961006
326,61,"POPLATEK MESICNE",970806
327,54,"POPLATEK MESICNE",930602
328,1,"POPLATEK MESICNE",970918
329,3,"POPLATEK MESICNE",961019
330,42,"POPLATEK MESICNE",961124
331,65,"POPLATEK MESICNE",951002
332,36,"POPLATEK MESICNE",960112
333,73,"POPLATEK MESICNE",961223
334,1,"POPLATEK MESICNE",930524
335,74,"POPLATEK MESICNE",960120
336,62,"POPLATEK MESICNE",951016
337,17,"POPLATEK MESICNE",951125
338,49,"POPLATEK MESICNE",951118
339,46,"POPLATEK TYDNE",960911
340,1,"POPLATEK MESICNE",931103
341,28,"POPLATEK MESICNE",961119
342,64,"POPLATEK MESICNE",961013
343,18,"POPLATEK MESICNE",940426
344,54,"POPLATEK MESICNE",931201
345,5,"POPLATEK MESICNE",931120
346,37,"POPLATEK MESICNE",930111
347,65,"POPLATEK MESICNE",931213
348,25,"POPLATEK MESICNE",951115
349,72,"POPLATEK MESICNE",970608
350,47,"POPLATEK MESICNE",961013
351,50,"POPLATEK MESICNE",970217
352,39,"POPLATEK MESICNE",940704
353,24,"POPLATEK MESICNE",950830
354,59,"POPLATEK MESICNE",931028
355,62,"POPLATEK TYDNE",960201
356,70,"POPLATEK MESICNE",960312
357,20,"POPLATEK MESICNE",960310
358,12,"POPLATEK MESICNE",931209
359,11,"POPLATEK MESICNE",941211
360,32,"POPLATEK MESICNE",960514
361,51,"POPLATEK MESICNE",930227
362,15,"POPLATEK MESICNE",930404
363,1,"POPLATEK MESICNE",940506
364,1,"POPLATEK MESICNE",970120
365,74,"POPLATEK MESICNE",931212
366,1,"POPLATEK MESICNE",961023
367,23,"POPLATEK MESICNE",970509
368,77,"POPLATEK MESICNE",930706
370,25,"POPLATEK MESICNE",940218
371,12,"POPLATEK MESICNE",960802
372,55,"POPLATEK MESICNE",950910
373,67,"POPLATEK MESICNE",960620
374,38,"POPLATEK MESICNE",930109
375,68,"POPLATEK MESICNE",960607
376,25,"POPLATEK MESICNE",950305
377,70,"POPLATEK MESICNE",940819
378,68,"POPLATEK MESICNE",960722
379,32,"POPLATEK MESICNE",960518
381,68,"POPLATEK MESICNE",930704
382,14,"POPLATEK MESICNE",960816
383,38,"POPLATEK MESICNE",970515
384,24,"POPLATEK TYDNE",970914
385,5,"POPLATEK MESICNE",930407
386,1,"POPLATEK MESICNE",970811
387,72,"POPLATEK MESICNE",970919
388,59,"POPLATEK MESICNE",950211
389,30,"POPLATEK MESICNE",930828
390,44,"POPLATEK MESICNE",960216
391,36,"POPLATEK MESICNE",931211
392,1,"POPLATEK MESICNE",960714
393,46,"POPLATEK MESICNE",950204
395,1,"POPLATEK MESICNE",930312
396,21,"POPLATEK MESICNE",930308
397,11,"POPLATEK MESICNE",931026
398,69,"POPLATEK MESICNE",971024
399,1,"POPLATEK MESICNE",960827
400,28,"POPLATEK MESICNE",930717
401,32,"POPLATEK MESICNE",930118
402,68,"POPLATEK MESICNE",970914
403,1,"POPLATEK MESICNE",930729
404,41,"POPLATEK MESICNE",950428
405,55,"POPLATEK MESICNE",970313
406,63,"POPLATEK MESICNE",960903
407,72,"POPLATEK TYDNE",970418
408,41,"POPLATEK MESICNE",930721
409,1,"POPLATEK MESICNE",960611
410,49,"POPLATEK MESICNE",961015
411,70,"POPLATEK MESICNE",930205
412,74,"POPLATEK MESICNE",960121
413,18,"POPLATEK MESICNE",960709
414,1,"POPLATEK MESICNE",960129
415,25,"POPLATEK MESICNE",930303
416,6,"POPLATEK MESICNE",960811
417,73,"POPLATEK MESICNE",960127
418,36,"POPLATEK MESICNE",950827
419,13,"POPLATEK MESICNE",931025
420,75,"POPLATEK MESICNE",950826
421,75,"POPLATEK MESICNE",971127
422,53,"POPLATEK TYDNE",940829
423,12,"POPLATEK MESICNE",930328
424,12,"POPLATEK MESICNE",970217
425,9,"POPLATEK MESICNE",930319
426,1,"POPLATEK MESICNE",931129
427,8,"POPLATEK MESICNE",940724
428,1,"POPLATEK MESICNE",930227
429,63,"POPLATEK MESICNE",950903
430,54,"POPLATEK MESICNE",950902
431,18,"POPLATEK MESICNE",961105
432,46,"POPLATEK MESICNE",930616
433,20,"POPLATEK MESICNE",930612
434,1,"POPLATEK MESICNE",961224
435,38,"POPLATEK MESICNE",930108
436,30,"POPLATEK MESICNE",960807
437,43,"POPLATEK MESICNE",931203
438,37,"POPLATEK MESICNE",970623
439,69,"POPLATEK MESICNE",960415
440,29,"POPLATEK MESICNE",961222
441,27,"POPLATEK TYDNE",931217
442,54,"POPLATEK MESICNE",970330
443,64,"POPLATEK MESICNE",930128
444,26,"POPLATEK MESICNE",960509
445,63,"POPLATEK TYDNE",930729
446,50,"POPLATEK MESICNE",930615
447,5,"POPLATEK MESICNE",960814
449,19,"POPLATEK MESICNE",941122
450,59,"POPLATEK MESICNE",960528
451,11,"POPLATEK MESICNE",940505
452,63,"POPLATEK MESICNE",951129
453,75,"POPLATEK MESICNE",970424
454,7,"POPLATEK MESICNE",950507
455,54,"POPLATEK MESICNE",950423
456,49,"POPLATEK MESICNE",930121
458,7,"POPLATEK MESICNE",950616
459,47,"POPLATEK MESICNE",930121
460,1,"POPLATEK MESICNE",940418
461,30,"POPLATEK MESICNE",930218
462,29,"POPLATEK MESICNE",931110
463,51,"POPLATEK MESICNE",950508
464,43,"POPLATEK MESICNE",970528
465,32,"POPLATEK MESICNE",930204
466,71,"POPLATEK MESICNE",960218
467,74,"POPLATEK MESICNE",930924
468,49,"POPLATEK MESICNE",960319
469,72,"POPLATEK MESICNE",970714
470,64,"POPLATEK MESICNE",940323
471,47,"POPLATEK MESICNE",950607
472,8,"POPLATEK MESICNE",961011
473,73,"POPLATEK MESICNE",961020
474,61,"POPLATEK MESICNE",951206
475,3,"POPLATEK MESICNE",970511
476,69,"POPLATEK MESICNE",970411
477,1,"POPLATEK MESICNE",930125
478,58,"POPLATEK MESICNE",940716
479,1,"POPLATEK MESICNE",951105
480,23,"POPLATEK MESICNE",970121
481,72,"POPLATEK MESICNE",960423
483,70,"POPLATEK MESICNE",970715
484,1,"POPLATEK MESICNE",950120
485,6,"POPLATEK PO OBRATU",930104
486,33,"POPLATEK MESICNE",951121
487,40,"POPLATEK MESICNE",951114
488,25,"POPLATEK MESICNE",960620
489,16,"POPLATEK MESICNE",930517
490,45,"POPLATEK MESICNE",950523
491,44,"POPLATEK MESICNE",960512
492,5,"POPLATEK MESICNE",931010
493,26,"POPLATEK MESICNE",940405
494,60,"POPLATEK MESICNE",930311
496,69,"POPLATEK MESICNE",930226
497,55,"POPLATEK MESICNE",930415
498,1,"POPLATEK MESICNE",931121
500,56,"POPLATEK MESICNE",960427
501,13,"POPLATEK MESICNE",951021
502,1,"POPLATEK MESICNE",971013
503,1,"POPLATEK MESICNE",960808
504,73,"POPLATEK MESICNE",930421
505,64,"POPLATEK MESICNE",961216
506,67,"POPLATEK MESICNE",960708
507,52,"POPLATEK MESICNE",960617
508,74,"POPLATEK MESICNE",961119
509,36,"POPLATEK MESICNE",970814
510,1,"POPLATEK TYDNE",930602
511,14,"POPLATEK MESICNE",961110
512,68,"POPLATEK MESICNE",970114
513,58,"POPLATEK MESICNE",961121
514,70,"POPLATEK MESICNE",960330
515,57,"POPLATEK MESICNE",950209
516,6,"POPLATEK MESICNE",960208
517,76,"POPLATEK MESICNE",930922
518,74,"POPLATEK MESICNE",940909
519,24,"POPLATEK MESICNE",931112
520,60,"POPLATEK MESICNE",931104
521,9,"POPLATEK MESICNE",951008
522,17,"POPLATEK MESICNE",951220
523,1,"POPLATEK MESICNE",930811
524,61,"POPLATEK MESICNE",940503
525,70,"POPLATEK MESICNE",960320
526,67,"POPLATEK MESICNE",960716
528,17,"POPLATEK MESICNE",961230
529,39,"POPLATEK MESICNE",970818
530,54,"POPLATEK MESICNE",961119
531,31,"POPLATEK MESICNE",950818
532,26,"POPLATEK MESICNE",950902
533,40,"POPLATEK MESICNE",950507
534,1,"POPLATEK MESICNE",970526
535,35,"POPLATEK MESICNE",940524
536,14,"POPLATEK MESICNE",961013
537,34,"POPLATEK MESICNE",970108
538,70,"POPLATEK MESICNE",940607
539,13,"POPLATEK PO OBRATU",930216
540,75,"POPLATEK MESICNE",931016
541,61,"POPLATEK MESICNE",930812
542,1,"POPLATEK MESICNE",931101
543,64,"POPLATEK MESICNE",940503
544,32,"POPLATEK MESICNE",950515
545,54,"POPLATEK MESICNE",931124
546,8,"POPLATEK MESICNE",961123
547,24,"POPLATEK MESICNE",970727
548,16,"POPLATEK MESICNE",940607
549,5,"POPLATEK MESICNE",961127
550,24,"POPLATEK MESICNE",971017
551,77,"POPLATEK MESICNE",930507
552,14,"POPLATEK MESICNE",930820
553,26,"POPLATEK MESICNE",950606
554,26,"POPLATEK MESICNE",960126
555,24,"POPLATEK MESICNE",930515
556,12,"POPLATEK MESICNE",970626
557,1,"POPLATEK MESICNE",951126
558,10,"POPLATEK MESICNE",960615
559,46,"POPLATEK MESICNE",930305
560,36,"POPLATEK MESICNE",950820
561,11,"POPLATEK MESICNE",961212
562,50,"POPLATEK MESICNE",930225
563,53,"POPLATEK MESICNE",930727
564,5,"POPLATEK MESICNE",971223
565,39,"POPLATEK MESICNE",951125
566,8,"POPLATEK MESICNE",971113
567,15,"POPLATEK MESICNE",960619
568,18,"POPLATEK MESICNE",950328
569,76,"POPLATEK MESICNE",961001
570,3,"POPLATEK MESICNE",961114
571,72,"POPLATEK MESICNE",960716
572,32,"POPLATEK MESICNE",940327
573,1,"POPLATEK TYDNE",960711
574,70,"POPLATEK MESICNE",930730
575,38,"POPLATEK MESICNE",940426
576,55,"POPLATEK MESICNE",930101
577,29,"POPLATEK MESICNE",940920
578,28,"POPLATEK TYDNE",970321
579,1,"POPLATEK MESICNE",971216
580,75,"POPLATEK MESICNE",960520
581,26,"POPLATEK MESICNE",961013
582,12,"POPLATEK MESICNE",940805
584,31,"POPLATEK MESICNE",960714
585,4,"POPLATEK MESICNE",970904
586,54,"POPLATEK MESICNE",950316
587,19,"POPLATEK MESICNE",960621
588,66,"POPLATEK MESICNE",930314
589,1,"POPLATEK MESICNE",970426
590,50,"POPLATEK MESICNE",960224
591,1,"POPLATEK MESICNE",970812
592,23,"POPLATEK MESICNE",961227
593,48,"POPLATEK MESICNE",960716
594,54,"POPLATEK MESICNE",941209
595,20,"POPLATEK MESICNE",961221
596,31,"POPLATEK MESICNE",941013
597,41,"POPLATEK MESICNE",931205
598,1,"POPLATEK MESICNE",970208
599,54,"POPLATEK MESICNE",961204
600,46,"POPLATEK MESICNE",970313
601,29,"POPLATEK MESICNE",930804
602,43,"POPLATEK MESICNE",951027
603,62,"POPLATEK MESICNE",960611
604,12,"POPLATEK MESICNE",931126
605,65,"POPLATEK MESICNE",970204
606,75,"POPLATEK MESICNE",971104
607,16,"POPLATEK MESICNE",950217
608,32,"POPLATEK MESICNE",950327
609,63,"POPLATEK MESICNE",940515
610,74,"POPLATEK MESICNE",940811
611,46,"POPLATEK MESICNE",970721
612,1,"POPLATEK MESICNE",960527
613,74,"POPLATEK PO OBRATU",960810
614,25,"POPLATEK MESICNE",970607
615,72,"POPLATEK MESICNE",960409
616,43,"POPLATEK MESICNE",931014
617,74,"POPLATEK MESICNE",960823
618,1,"POPLATEK MESICNE",961002
619,1,"POPLATEK TYDNE",950909
620,26,"POPLATEK MESICNE",960218
621,52,"POPLATEK MESICNE",960601
622,24,"POPLATEK MESICNE",970622
623,1,"POPLATEK MESICNE",930324
624,70,"POPLATEK MESICNE",931011
625,70,"POPLATEK MESICNE",950712
626,72,"POPLATEK MESICNE",931111
627,63,"POPLATEK MESICNE",930205
628,72,"POPLATEK MESICNE",940103
629,31,"POPLATEK MESICNE",940725
630,71,"POPLATEK MESICNE",930629
631,68,"POPLATEK MESICNE",960325
632,29,"POPLATEK MESICNE",960514
633,57,"POPLATEK MESICNE",951206
635,21,"POPLATEK MESICNE",940821
636,75,"POPLATEK MESICNE",970424
637,49,"POPLATEK MESICNE",960827
638,65,"POPLATEK MESICNE",950628
639,1,"POPLATEK MESICNE",971103
640,32,"POPLATEK MESICNE",930602
641,40,"POPLATEK MESICNE",970622
643,64,"POPLATEK MESICNE",971028
644,4,"POPLATEK MESICNE",971106
645,70,"POPLATEK MESICNE",970821
646,51,"POPLATEK MESICNE",960106
647,1,"POPLATEK MESICNE",970428
648,13,"POPLATEK MESICNE",931109
649,69,"POPLATEK TYDNE",940517
650,3,"POPLATEK MESICNE",950128
651,72,"POPLATEK MESICNE",931128
652,21,"POPLATEK MESICNE",930105
653,27,"POPLATEK MESICNE",970819
654,63,"POPLATEK MESICNE",941016
655,53,"POPLATEK MESICNE",930324
656,3,"POPLATEK MESICNE",960818
657,47,"POPLATEK MESICNE",930808
658,4,"POPLATEK MESICNE",960110
659,63,"POPLATEK MESICNE",961214
660,68,"POPLATEK MESICNE",960120
662,21,"POPLATEK MESICNE",940718
664,1,"POPLATEK MESICNE",961208
665,8,"POPLATEK MESICNE",950903
666,27,"POPLATEK MESICNE",960315
669,35,"POPLATEK MESICNE",960607
671,60,"POPLATEK MESICNE",971029
672,53,"POPLATEK MESICNE",970623
673,31,"POPLATEK MESICNE",971208
674,49,"POPLATEK MESICNE",950902
675,58,"POPLATEK MESICNE",950803
676,39,"POPLATEK MESICNE",950922
677,70,"POPLATEK MESICNE",970913
678,17,"POPLATEK MESICNE",931008
679,22,"POPLATEK MESICNE",970712
680,17,"POPLATEK MESICNE",970718
682,54,"POPLATEK MESICNE",970608
683,74,"POPLATEK MESICNE",960722
684,49,"POPLATEK MESICNE",960512
685,37,"POPLATEK TYDNE",950104
686,41,"POPLATEK MESICNE",930404
687,27,"POPLATEK MESICNE",960602
688,74,"POPLATEK MESICNE",931125
689,1,"POPLATEK MESICNE",960424
690,10,"POPLATEK MESICNE",960711
691,24,"POPLATEK MESICNE",960221
692,69,"POPLATEK MESICNE",961002
693,2,"POPLATEK MESICNE",940606
694,67,"POPLATEK MESICNE",960904
695,5,"POPLATEK MESICNE",960421
696,54,"POPLATEK MESICNE",971109
697,28,"POPLATEK MESICNE",930223
698,71,"POPLATEK MESICNE",960929
699,1,"POPLATEK MESICNE",930917
700,20,"POPLATEK MESICNE",940601
701,69,"POPLATEK MESICNE",930608
702,12,"POPLATEK MESICNE",930623
703,54,"POPLATEK MESICNE",971221
704,55,"POPLATEK MESICNE",930101
705,35,"POPLATEK MESICNE",970714
706,49,"POPLATEK MESICNE",960507
708,26,"POPLATEK MESICNE",960330
709,19,"POPLATEK MESICNE",940725
710,25,"POPLATEK MESICNE",940902
711,70,"POPLATEK MESICNE",940706
712,72,"POPLATEK MESICNE",961201
713,58,"POPLATEK MESICNE",961015
714,23,"POPLATEK MESICNE",961104
715,32,"POPLATEK MESICNE",960808
716,47,"POPLATEK MESICNE",940925
717,75,"POPLATEK MESICNE",930424
718,1,"POPLATEK MESICNE",960303
719,30,"POPLATEK MESICNE",931221
720,54,"POPLATEK MESICNE",950720
721,76,"POPLATEK MESICNE",930829
722,38,"POPLATEK PO OBRATU",970504
725,70,"POPLATEK MESICNE",960708
726,76,"POPLATEK MESICNE",940203
727,35,"POPLATEK MESICNE",971225
728,60,"POPLATEK MESICNE",951128
729,14,"POPLATEK MESICNE",970215
730,4,"POPLATEK MESICNE",930828
731,5,"POPLATEK MESICNE",950711
732,38,"POPLATEK MESICNE",960607
733,49,"POPLATEK TYDNE",950517
734,5,"POPLATEK MESICNE",960408
