Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Sudan,Eastern Mediterranean,36574,83.41,185,0.42,16,2750,6.27,10,0.02,0,Clusters of cases
Malawi,Africa,35115,183.56,465,2.43,119,1177,6.15,14,0.07,4,Community transmission
Rwanda,Africa,33260,256.79,4085,31.54,964,397,3.07,21,0.16,5,Community transmission
Cabo Verde,Africa,32192,5790.06,409,73.56,81,284,51.08,5,0.9,0,Community transmission
Trinidad and Tobago,Americas,31207,2229.89,1601,114.4,225,768,54.88,73,5.22,7,Community transmission
Malta,Europe,30595,5945.81,10,1.94,0,420,81.62,1,0.19,0,Clusters of cases
Australia,Western Pacific,30408,119.25,106,0.42,30,910,3.57,0,0,0,Clusters of cases
Réunion,Africa,29502,3295.16,1061,118.51,0,226,25.24,6,0.67,0,Community transmission
French Guiana,Americas,27040,9053.11,897,300.32,208,142,47.54,6,2.01,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,25287,144.49,296,1.69,39,1859,10.62,27,0.15,4,Community transmission
Gabon,Africa,24958,1121.34,222,9.97,73,159,7.14,3,0.13,1,Community transmission
Guinea,Africa,23579,179.54,181,1.38,36,168,1.28,1,0.01,0,Community transmission
Suriname,Americas,20549,3502.88,1441,245.64,251,482,82.16,55,9.38,5,Community transmission
Mauritania,Africa,20415,439.06,216,4.65,0,482,10.37,3,0.06,0,Community transmission
Mayotte,Africa,19402,7111.78,24,8.8,0,174,63.78,1,0.37,0,Community transmission
Guyana,Americas,19359,2461.25,701,89.12,125,454,57.72,16,2.03,2,Community transmission
French Polynesia,Western Pacific,18992,6760.93,35,12.46,1,142,50.55,0,0,0,Sporadic cases
Eswatini,Africa,18898,1628.91,130,11.21,44,677,58.35,1,0.09,0,Community transmission
Haiti,Americas,17963,157.54,915,8.02,27,400,3.51,31,0.27,0,Community transmission
Guadeloupe,Americas,17427,4355.4,139,34.74,0,266,66.48,1,0.25,0,Community transmission
Papua New Guinea,Western Pacific,17079,190.89,146,1.63,0,173,1.93,0,0,0,Community transmission
Seychelles,Africa,14953,15204.33,988,1004.61,198,55,55.92,4,4.07,2,Community transmission
Somalia,Eastern Mediterranean,14875,93.59,34,0.21,7,775,4.88,0,0,0,Community transmission
Mali,Africa,14392,71.07,32,0.16,6,525,2.59,2,0.01,1,Community transmission
Viet Nam,Western Pacific,14323,14.71,2092,2.15,334,72,0.07,11,0.01,2,Clusters of cases
Andorra,Europe,13873,17955.09,37,47.89,9,127,164.37,0,0,0,Community transmission
Tajikistan,Europe,13764,144.31,50,0.52,0,91,0.95,0,0,0,Pending
Togo,Africa,13749,166.08,80,0.97,14,128,1.55,1,0.01,0,Community transmission
Burkina Faso,Africa,13473,64.45,13,0.06,4,168,0.8,1,0,0,Community transmission
Belize,Americas,13083,3290.26,89,22.38,24,329,82.74,2,0.5,0,Community transmission
Bahamas,Americas,12407,3155.04,112,28.48,0,244,62.05,3,0.76,0,Clusters of cases
Congo,Africa,12404,224.79,106,1.92,0,164,2.97,3,0.05,0,Community transmission
Curaçao,Americas,12322,7509.16,18,10.97,1,125,76.18,2,1.22,0,Community transmission
Martinique,Americas,12199,3250.77,69,18.39,0,99,26.38,0,0,0,Community transmission
Djibouti,Eastern Mediterranean,11597,1173.79,12,1.21,0,155,15.69,1,0.1,0,Clusters of cases
Lesotho,Africa,11168,521.32,218,10.18,40,329,15.36,3,0.14,0,Community transmission
Aruba,Americas,11118,10413.43,29,27.16,2,107,100.22,0,0,0,Community transmission
South Sudan,Africa,10812,96.59,48,0.43,26,115,1.03,0,0,0,Community transmission
Timor-Leste,South-East Asia,8889,674.2,385,29.2,46,20,1.52,1,0.08,1,Community transmission
Equatorial Guinea,Africa,8708,620.68,46,3.28,0,120,8.55,0,0,0,Community transmission
Benin,Africa,8170,67.39,30,0.25,0,104,0.86,1,0.01,0,Community transmission
Guam,Western Pacific,8060,4775.59,47,27.85,6,139,82.36,0,0,0,Clusters of cases
Central African Republic,Africa,7139,147.81,38,0.79,0,98,2.03,0,0,0,Community transmission
Yemen,Eastern Mediterranean,6905,23.15,36,0.12,7,1356,4.55,5,0.02,1,Community transmission
Iceland,Europe,6630,1820.76,8,2.2,0,30,8.24,0,0,0,Community transmission
Nicaragua,Americas,6402,96.64,159,2.4,0,190,2.87,1,0.02,0,Community transmission
Gambia,Africa,6054,250.51,30,1.24,0,181,7.49,0,0,0,Community transmission
Eritrea,Africa,5603,157.99,495,13.96,95,21,0.59,4,0.11,0,Community transmission
Niger,Africa,5472,22.61,17,0.07,3,193,0.8,1,0,0,Community transmission
Burundi,Africa,5334,44.86,236,1.98,34,8,0.07,0,0,0,Community transmission
Saint Lucia,Americas,5238,2852.52,50,27.23,11,84,45.74,4,2.18,0,Community transmission
San Marino,Europe,5091,15000.88,0,0,0,90,265.19,0,0,0,Community transmission
Sierra Leone,Africa,5052,63.33,547,6.86,89,86,1.08,4,0.05,2,Community transmission
Chad,Africa,4951,30.14,8,0.05,3,174,1.06,0,0,0,Community transmission
Gibraltar,Europe,4323,12831.32,11,32.65,2,94,279.01,0,0,0,Clusters of cases
Barbados,Americas,4052,1410,14,4.87,0,47,16.35,0,0,0,Community transmission
Comoros,Africa,3985,458.26,12,1.38,0,146,16.79,0,0,0,Community transmission
Guinea-Bissau,Africa,3839,195.07,29,1.47,5,69,3.51,0,0,0,Community transmission
United States Virgin Islands,Americas,3819,3657.17,72,68.95,9,30,28.73,0,0,0,Community transmission
Jersey,Europe,3322,3081.75,31,28.76,9,69,64.01,0,0,0,Community transmission
Liberia,Africa,3265,64.56,536,10.6,156,110,2.17,15,0.3,11,Community transmission
Liechtenstein,Europe,3123,8059.98,4,10.32,0,58,149.69,0,0,0,Sporadic cases
Fiji,Western Pacific,2848,317.7,1315,146.69,308,13,1.45,7,0.78,0,Sporadic cases
Sint Maarten,Americas,2585,6028.17,31,72.29,3,32,74.62,0,0,0,Community transmission
Monaco,Europe,2557,6515.65,18,45.87,3,33,84.09,0,0,0,Sporadic cases
Bermuda,Americas,2504,4021,5,8.03,0,33,52.99,0,0,0,Sporadic cases
Turks and Caicos Islands,Americas,2424,6260.65,1,2.58,0,18,46.49,0,0,0,Clusters of cases
New Zealand,Western Pacific,2369,49.13,11,0.23,2,26,0.54,0,0,0,Sporadic cases
Sao Tome and Principe,Africa,2363,1078.21,5,2.28,0,37,16.88,0,0,0,Community transmission
Saint Martin,Americas,2314,5985.67,86,222.46,0,26,67.25,1,2.59,0,Community transmission
Saint Vincent and the Grenadines,Americas,2207,1989.36,29,26.14,0,12,10.82,0,0,0,Community transmission
Lao People's Democratic Republic,Western Pacific,2080,28.59,46,0.63,4,3,0.04,0,0,0,Sporadic cases
Bhutan,South-East Asia,2006,259.98,124,16.07,36,1,0.13,0,0,0,Clusters of cases
Mauritius,Africa,1845,145.07,116,9.12,9,18,1.42,0,0,0,Clusters of cases
Bonaire,Americas,1608,7688.26,7,33.47,0,17,81.28,0,0,0,Community transmission
Isle of Man,Europe,1603,1885.17,4,4.7,3,29,34.1,0,0,0,No cases
Antigua and Barbuda,Americas,1263,1289.71,0,0,0,42,42.89,0,0,0,Clusters of cases
Saint Barthélemy,Americas,1040,10520.99,8,80.93,0,1,10.12,0,0,0,Clusters of cases
Guernsey,Europe,828,1284.36,3,4.65,1,17,26.37,0,0,0,Community transmission
Faroe Islands,Europe,770,1575.77,12,24.56,0,1,2.05,0,0,0,Sporadic cases
Other,Other,764,,0,,0,13,,0,,0,Not applicable
Cayman Islands,Americas,609,926.66,10,15.22,0,2,3.04,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,396,744.47,145,272.6,19,3,5.64,3,5.64,0,Community transmission
British Virgin Islands,Americas,295,975.63,0,0,0,1,3.31,0,0,0,Clusters of cases
Brunei Darussalam,Western Pacific,256,58.52,5,1.14,0,3,0.69,0,0,0,Sporadic cases
Dominica,Americas,192,266.7,1,1.39,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,183,317.95,0,0,0,2,3.47,0,0,0,Pending
Grenada,Americas,161,143.08,0,0,0,1,0.89,0,0,0,No cases
New Caledonia,Western Pacific,129,45.18,1,0.35,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,109,726.57,0,0,0,0,0,0,0,0,No cases
Falkland Islands (Malvinas),Americas,60,1722.65,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,50,88.07,1,1.76,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,26,448.66,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,No cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,7,362.13,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
