country,iso3,who_region,data_source,date_updated,total_vaccinations,persons_vaccinated_1plus_dose,total_vaccinations_per100,persons_vaccinated_1plus_dose_per100,vaccines_used,first_vaccine_date,number_vaccines_types_used
Russian Federation,RUS,EURO,OWID,2021-06-23,34901304.0,19657314.0,23.9,13.47,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2.0
Rwanda,RWA,AFRO,REPORTING,2021-06-24,398096.0,350400.0,3.074,2.705,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-14,3.0
Saba,XCA,AMRO,REPORTING,2021-06-18,1300.0,,67.253,,,,
Saint Helena,SHN,AFRO,OWID,2021-05-05,7892.0,4361.0,129.995,71.833,AstraZeneca - AZD1222,,1.0
Saint Kitts and Nevis,KNA,AMRO,REPORTING,2021-06-18,32804.0,22105.0,61.671,41.557,"AstraZeneca - Vaxzevria,SII - Covishield",2021-02-22,2.0
Saint Lucia,LCA,AMRO,REPORTING,2021-06-18,50869.0,29874.0,27.702,16.269,"AstraZeneca - Vaxzevria,SII - Covishield",2021-02-17,2.0
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2021-06-18,22980.0,14421.0,20.714,12.999,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,SII - Covishield",2021-02-01,3.0
Samoa,WSM,WPRO,REPORTING,2021-06-03,37572.0,34888.0,18.936,17.583,AstraZeneca - Vaxzevria,2021-04-18,1.0
San Marino,SMR,EURO,REPORTING,2021-06-20,44005.0,22964.0,129.7,67.665,"Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-02-24,2.0
Sao Tome and Principe,STP,AFRO,REPORTING,2021-06-24,24908.0,13354.0,11.365,6.093,"AstraZeneca - Vaxzevria,SII - Covishield",2021-03-15,2.0
Saudi Arabia,SAU,EMRO,REPORTING,2021-06-20,16558180.0,,47.562,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-06,4.0
Senegal,SEN,AFRO,REPORTING,2021-06-24,630943.0,501633.0,3.768,2.996,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-02-23,2.0
Serbia,SRB,EURO,REPORTING,2021-05-30,4546379.0,2512190.0,65.6,36.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Seychelles,SYC,AFRO,REPORTING,2021-06-24,137676.0,70660.0,139.99,71.848,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-01-10,2.0
Sierra Leone,SLE,AFRO,REPORTING,2021-06-24,97315.0,82145.0,1.22,1.03,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-15,2.0
Singapore,SGP,WPRO,REPORTING,2021-06-21,5029006.0,2971570.0,85.961,50.793,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,3.0
Sint Eustatius,XBA,AMRO,REPORTING,2021-06-18,2236.0,1205.0,71.233,38.388,,,
Sint Maarten,SXM,AMRO,REPORTING,2021-06-18,36209.0,20358.0,84.439,47.474,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-22,3.0
Slovakia,SVK,EURO,REPORTING,2021-06-20,3241264.0,1892610.0,59.4,34.677,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-06,4.0
Slovenia,SVN,EURO,REPORTING,2021-06-20,1386073.0,792127.0,66.1,37.795,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Solomon Islands,SLB,WPRO,REPORTING,2021-06-10,21469.0,18042.0,3.126,2.627,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-23,3.0
Somalia,SOM,EMRO,REPORTING,2021-06-23,190399.0,135760.0,1.198,0.854,"Beijing CNBG - BBIBP-CorV,SII - Covishield,Sinovac - CoronaVac",2021-03-16,3.0
South Africa,ZAF,AFRO,REPORTING,2021-06-24,2144204.0,1664436.0,3.615,2.806,Janssen - Ad26.COV 2.5,2021-02-17,1.0
South Sudan,SSD,AFRO,REPORTING,2021-06-24,32959.0,30849.0,0.294,0.276,SII - Covishield,2021-04-06,1.0
Spain,ESP,EURO,REPORTING,2021-06-20,37294684.0,23202582.0,78.8,49.02,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4.0
Sri Lanka,LKA,SEARO,REPORTING,2021-06-22,3345165.0,2487297.0,15.622,11.616,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",2021-01-29,3.0
Sudan,SDN,EMRO,REPORTING,2021-06-20,629692.0,520928.0,1.436,1.188,"Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-09,4.0
Suriname,SUR,AMRO,REPORTING,2021-06-18,161829.0,132423.0,27.586,22.573,"AstraZeneca - Vaxzevria,SII - Covishield",2021-02-23,2.0
Sweden,SWE,EURO,REPORTING,2021-06-20,7013780.0,4412544.0,67.9,42.726,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3.0
Switzerland,CHE,EURO,REPORTING,2021-06-20,6454990.0,3924806.0,74.6,45.349,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,2.0
Syrian Arab Republic,SYR,EMRO,REPORTING,2021-06-21,108276.0,102319.0,0.619,0.585,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",2021-04-01,3.0
Tajikistan,TJK,EURO,REPORTING,2021-06-20,132075.0,116341.0,1.4,1.22,"AstraZeneca - Vaxzevria,SII - Covishield",2021-03-24,2.0
Thailand,THA,SEARO,REPORTING,2021-06-18,7483083.0,5434119.0,10.721,7.785,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",2021-02-28,4.0
The United Kingdom,GBR,EURO,OWID,2021-06-22,74577678.0,43127763.0,109.9,63.53,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3.0
Timor-Leste,TLS,SEARO,REPORTING,2021-06-22,189266.0,166148.0,14.355,12.602,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2021-04-07,3.0
Togo,TGO,AFRO,REPORTING,2021-06-24,347246.0,270784.0,4.194,3.271,SII - Covishield,2021-03-10,1.0
Tonga,TON,WPRO,REPORTING,2021-06-21,28667.0,28667.0,27.122,27.122,AstraZeneca - Vaxzevria,2021-04-14,1.0
Trinidad and Tobago,TTO,AMRO,REPORTING,2021-06-18,195540.0,169286.0,13.972,12.096,"AstraZeneca - Vaxzevria,SII - Covishield",2021-02-17,2.0
Tunisia,TUN,EMRO,REPORTING,2021-06-20,1554145.0,1147850.0,13.15,9.712,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-13,4.0
Turkey,TUR,EURO,OWID,2021-06-23,42613378.0,28123248.0,50.5,33.345,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac",,2.0
Turkmenistan,TKM,EURO,REPORTING,2021-04-04,41993.0,32240.0,0.7,0.535,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SRCVB - EpiVacCorona",2021-03-31,4.0
Turks and Caicos Islands,TCA,AMRO,REPORTING,2021-06-18,38110.0,22700.0,98.43,58.629,Pfizer BioNTech - Comirnaty,2021-01-11,1.0
Tuvalu,TUV,WPRO,REPORTING,2021-06-22,4772.0,4772.0,40.468,40.468,AstraZeneca - Vaxzevria,2021-04-13,1.0
Uganda,UGA,AFRO,REPORTING,2021-06-24,935184.0,841629.0,2.045,1.84,SII - Covishield,2021-03-10,1.0
Ukraine,UKR,EURO,REPORTING,2021-06-13,1718890.0,1497570.0,3.9,3.424,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-24,5.0
United Arab Emirates,ARE,EMRO,OWID,2021-06-21,14631482.0,,147.936,,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Wuhan CNBG - Inactivated, Gamaleya - Sputnik V",,5.0
United States of America,USA,AMRO,REPORTING,2021-06-18,317983185.0,180596682.0,96.067,54.56,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-14,3.0
Uruguay,URY,AMRO,REPORTING,2021-06-18,3471590.0,2134320.0,99.938,61.442,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-27,3.0
Uzbekistan,UZB,EURO,REPORTING,2021-06-13,1144934.0,417132.0,3.4,1.387,"Anhui ZL - Recombinant,Gamaleya - Sputnik V,SII - Covishield",2021-05-12,3.0
Vanuatu,VUT,WPRO,REPORTING,2021-06-16,5140.0,5140.0,1.673,1.673,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",2021-06-02,2.0
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2021-06-18,1302992.0,1079134.0,4.582,3.795,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Wuhan CNBG - Inactivated",2021-02-22,3.0
Viet Nam,VNM,WPRO,REPORTING,2021-06-18,2034781.0,1944948.0,2.09,1.998,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V",2021-03-08,2.0
Wallis and Futuna,WLF,WPRO,REPORTING,2021-05-21,8186.0,4341.0,72.79,38.6,Moderna - mRNA-1273,2021-03-19,1.0
Yemen,YEM,EMRO,REPORTING,2021-06-20,251385.0,251385.0,0.843,0.843,SII - Covishield,2021-04-20,1.0
Zambia,ZMB,AFRO,REPORTING,2021-06-24,147220.0,141934.0,0.801,0.772,SII - Covishield,2021-04-14,1.0
Zimbabwe,ZWE,AFRO,REPORTING,2021-06-24,1146378.0,706158.0,7.713,4.751,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Sinovac - CoronaVac",2021-02-18,3.0
